id,ability,position,scored
y7mc26d6,7,3,Scored penalty
4fjloqys,7,4,Scored penalty
gy5c6246,7,1,Scored penalty
5y7baq5n,7,1,Scored penalty
4ieup7w2,9,1,Missed penalty
thwd4o5w,8,2,Scored penalty
8a134l4x,7,1,Scored penalty
t7cga326,9,5,Missed penalty
v94a19tb,6,5,Scored penalty
y85d7tof,9,5,Scored penalty
wyd7c2c1,6,1,Scored penalty
dr7e733e,9,3,Scored penalty
3m3lrxit,8,5,Scored penalty
94p4p657,5,5,Scored penalty
20ic1f8o,7,5,Scored penalty
b0753535,7,5,Scored penalty
8q87gw81,8,1,Scored penalty
61453jgu,9,5,Scored penalty
1t6f19a0,8,1,Scored penalty
2t64ugvv,9,3,Scored penalty
v3v5w169,9,3,Scored penalty
5w0t6866,5,5,Scored penalty
87573i36,9,4,Scored penalty
c28o9fw4,6,3,Scored penalty
he76w33w,8,2,Scored penalty
u3l1uotp,3,2,Scored penalty
sm7661lu,5,3,Scored penalty
2978n18u,8,2,Scored penalty
5f5jq4p8,7,2,Scored penalty
v7p937ir,9,2,Scored penalty
ebm6vf5t,8,3,Scored penalty
14j36a7f,6,3,Scored penalty
b7222gtk,8,5,Scored penalty
n126l27n,10,2,Scored penalty
h9i4949n,8,2,Scored penalty
751737fu,9,4,Scored penalty
g8786poy,7,2,Scored penalty
3x53de44,7,2,Scored penalty
rqbk3v11,3,1,Scored penalty
dv2i877t,6,3,Scored penalty
v96lgeiy,7,3,Scored penalty
pwq7mor2,3,4,Missed penalty
9f2gc3d2,8,3,Scored penalty
h8558b2k,7,5,Scored penalty
i4d2g5g0,4,3,Scored penalty
maqu8w05,7,2,Scored penalty
q45x3v71,9,1,Scored penalty
248v77f4,8,5,Scored penalty
a67c6817,5,5,Scored penalty
5rm6w8iy,7,4,Scored penalty
9a95v684,7,3,Scored penalty
6ef6ugkw,8,1,Missed penalty
vot37mf9,8,5,Scored penalty
eg85o08t,4,4,Scored penalty
5j34l379,9,3,Scored penalty
t2v3wp3x,7,5,Scored penalty
q4og4993,7,4,Scored penalty
67o33y2r,7,2,Scored penalty
5se5t631,7,4,Scored penalty
445nvgb6,8,1,Scored penalty
7c17d4d3,7,3,Scored penalty
68p0j768,4,4,Missed penalty
mumv1p3y,6,1,Scored penalty
1g434ky8,7,3,Scored penalty
dyg0s4js,9,4,Scored penalty
66jmg653,9,3,Scored penalty
i9guqwvt,9,5,Scored penalty
o1lh4d4h,6,1,Scored penalty
125p3g5b,8,4,Scored penalty
1y4a8rgp,7,3,Scored penalty
9an9vp5s,9,3,Scored penalty
1mqf1168,8,3,Scored penalty
1oh5lpnd,7,3,Scored penalty
d677r4d1,8,1,Scored penalty
7ivres5n,7,4,Scored penalty
do876m74,8,2,Scored penalty
a371dc44,9,3,Scored penalty
241494o4,7,2,Scored penalty
4754k9j9,8,3,Scored penalty
78k3tvcl,9,1,Scored penalty
253bc52d,8,4,Scored penalty
tru9xu7j,9,2,Scored penalty
6j7664jj,8,1,Scored penalty
l1467byo,5,4,Scored penalty
l6g6888m,6,4,Scored penalty
p7m4c591,9,4,Scored penalty
0lna67fg,7,3,Scored penalty
412ve4ya,7,1,Scored penalty
6559j25y,7,2,Scored penalty
n66ra7mp,4,2,Scored penalty
x9m7161t,6,4,Scored penalty
ws124s51,8,4,Scored penalty
72536m8b,8,2,Scored penalty
p16138f6,9,4,Scored penalty
wu3lmx24,7,3,Scored penalty
o4qmq5i2,8,4,Scored penalty
t89i8rc3,8,1,Scored penalty
