participant_code,gender,ias1,ias2,ias3,ias4,ias5,ias6,ias7,ias8,ias9,ias10,ias11,ias12,ias13,ias14,ias15,ias16,ias17,ias18,ias19,ias20,ias21,ias22,ias23,ias24,ias25,ias26,ias27,ias28,ias29,ias30,ias31,ias32,ias33,ias34,ias35,ias36
201,female,2,2,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,3,1,1,1,1,1
204,female,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,female,1,1,4,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,4,1,1,1,1,1
208,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1
211,female,2,2,2,1,1,1,1,1,1,3,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
212,female,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,female,2,3,3,2,1,1,1,2,1,1,3,1,3,1,1,2,1,1,2,1,1,2,2,2,3,2,2,1,1,1,2,1,1,1,2,1
215,female,1,1,3,2,1,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1
216,female,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
218,female,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1
219,female,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
221,female,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1
222,female,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1
223,female,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
224,female,4,2,4,1,3,4,2,5,3,2,3,2,2,3,2,2,1,2,4,2,4,3,2,3,2,3,4,3,2,3,4,3,2,2,4,3
225,female,3,1,4,3,4,1,2,4,3,1,2,2,1,2,2,3,1,1,3,3,2,1,1,3,3,2,4,2,2,2,3,1,3,1,3,2
228,female,1,1,3,3,1,1,1,4,1,2,1,2,1,1,1,1,2,1,2,3,2,3,1,1,3,1,2,1,1,2,5,1,1,1,1,1
231,female,2,3,4,3,2,1,1,4,1,2,3,4,3,1,2,3,2,2,3,3,4,1,1,3,2,2,2,2,3,2,3,2,2,2,3,2
232,female,2,3,4,4,4,2,2,4,3,2,1,3,3,1,1,1,1,1,3,2,3,1,1,3,3,1,2,1,2,2,4,4,5,1,2,1
235,female,1,1,4,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
237,female,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
239,female,1,1,3,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
240,female,1,1,3,2,2,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,3,2,1,3,1,1,3,4,3,1,1,1,1
241,female,1,1,4,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1
134,male,3,2,4,3,2,3,2,4,4,2,2,4,4,4,1,1,3,2,4,3,5,3,1,4,2,3,2,2,1,4,2,4,2,1,1,1
82,male,3,1,5,1,1,3,4,3,2,2,4,3,1,1,2,3,2,2,3,2,3,2,1,4,1,2,4,3,1,1,4,3,1,1,1,1
79,male,1,1,1,1,2,1,3,4,4,3,2,2,5,2,2,2,2,3,2,2,4,4,3,3,3,1,2,3,2,2,2,3,1,1,2,3
