id,book,happiness
shpo,Discovering statistics using R,38
vblu,Discovering statistics using R,22
clal,Discovering statistics using R,34
ojsr,Discovering statistics using R,17
ydbh,Discovering statistics using R,18
txpu,Discovering statistics using R,20
vkng,Discovering statistics using R,41
cnvh,Discovering statistics using R,7
aenb,Discovering statistics using R,21
ieux,Discovering statistics using R,11
iixu,Discovering statistics using R,10
wody,Discovering statistics using R,17
svur,Discovering statistics using R,19
iamo,Discovering statistics using R,23
kett,Discovering statistics using R,10
qplr,Discovering statistics using R,13
wstu,Discovering statistics using R,26
muhm,Discovering statistics using R,24
ksyw,Discovering statistics using R,-2
egqh,Discovering statistics using R,39
dwuc,Discovering statistics using R,33
dwvs,Discovering statistics using R,24
