ticket_no,subculture,day1,day2,day3,change
4220,Raver,2.94,NA,NA,NA
4221,No subculture,1.55,NA,NA,NA
4222,Metalhead,0.88,0.26,NA,NA
4223,Metalhead,1.35,2.32,NA,NA
4224,Raver,0.61,0.2,0.17,-0.43999999999999995
4225,Raver,1,NA,NA,NA
4226,No subculture,1.52,2.72,0.52,-1
4234,No subculture,1,NA,NA,NA
4235,No subculture,1.76,0.41,0.88,-0.88
4236,No subculture,2.52,NA,NA,NA
4237,Raver,2,0.88,1.44,-0.56
4238,No subculture,2.63,NA,NA,NA
4239,Raver,0.73,0.85,NA,NA
4240,Metalhead,1.58,0.23,1.66,0.07999999999999985
4241,No subculture,0.58,NA,NA,NA
4245,No subculture,1.67,NA,NA,NA
4247,No subculture,1.47,NA,NA,NA
4249,No subculture,1.81,NA,NA,NA
4256,Raver,1.91,NA,NA,NA
4257,No subculture,1.06,NA,NA,NA
4259,No subculture,1.47,1.23,0.94,-0.53
4262,Raver,2.52,NA,NA,NA
4263,Metalhead,1.85,0.2,NA,NA
4264,Raver,3.44,NA,NA,NA
4265,Metalhead,1.55,1.32,1.19,-0.3600000000000001
4266,Metalhead,2.29,2.7,NA,NA
4267,Metalhead,1.76,NA,NA,NA
4268,No subculture,1.9,NA,NA,NA
4269,No subculture,2.52,2.55,NA,NA
4271,Raver,2.52,NA,NA,NA
4274,Raver,2.82,0.17,NA,NA
4281,Raver,2.02,NA,NA,NA
4284,Metalhead,1.29,NA,NA,NA
4285,No subculture,1.26,NA,NA,NA
4287,Metalhead,0.94,NA,NA,NA
4291,Hipster,2,1.13,0.53,-1.47
4292,No subculture,0.73,NA,NA,NA
4294,Raver,2.26,0.79,NA,NA
4295,Raver,2.23,NA,NA,NA
4297,Raver,2.35,NA,NA,NA
4298,No subculture,0.55,0.38,NA,NA
4301,No subculture,1.85,NA,NA,NA
4302,Raver,0.67,NA,NA,NA
4305,Raver,1.85,1,NA,NA
4306,Raver,1.23,0.2,NA,NA
4308,No subculture,2.35,NA,NA,NA
4309,Raver,1.35,NA,NA,NA
4310,No subculture,1.94,NA,NA,NA
4311,No subculture,1.55,NA,NA,NA
4312,Raver,1.29,NA,NA,NA
4313,Hipster,2.17,NA,NA,NA
4314,Metalhead,1.91,NA,NA,NA
4333,Hipster,2.88,NA,NA,NA
4334,No subculture,2.36,NA,NA,NA
4335,Hipster,2.36,NA,NA,NA
4336,No subculture,2.2,NA,NA,NA
4349,Raver,2.17,0.47,0.38,-1.79
4351,Raver,0.52,NA,NA,NA
4352,Raver,0.32,NA,NA,NA
4353,Metalhead,1.52,0.55,NA,NA
4354,Raver,2,0.94,0.08,-1.92
4355,Metalhead,1.32,1.02,1.2,-0.1200000000000001
4356,Hipster,2.05,NA,NA,NA
4357,Raver,1.73,NA,NA,NA
4358,No subculture,1.94,NA,NA,NA
4359,Metalhead,1.81,NA,NA,NA
4360,Hipster,0.9,0.64,NA,NA
4361,No subculture,1.58,0.67,NA,NA
4363,Metalhead,2.29,1.87,0.91,-1.38
4366,No subculture,2.57,NA,NA,NA
4370,No subculture,1.58,NA,NA,NA
4382,Raver,2.33,0.82,NA,NA
4383,Raver,3.15,NA,NA,NA
4384,Hipster,2.29,NA,NA,NA
4385,Raver,0.82,NA,NA,NA
4386,Raver,1.93,NA,NA,NA
4387,No subculture,1.82,NA,NA,NA
4388,No subculture,1.96,NA,NA,NA
4389,No subculture,1.32,0.64,0.47,-0.8500000000000001
4391,No subculture,1.02,NA,NA,NA
4392,No subculture,1.14,NA,NA,NA
4393,Metalhead,2.32,NA,NA,NA
4394,Metalhead,2.16,NA,NA,NA
4396,No subculture,2.42,1.7,NA,NA
4397,No subculture,1.14,NA,NA,NA
4398,Hipster,1.55,0.79,1.76,0.20999999999999996
4404,Hipster,1.17,NA,NA,NA
4405,No subculture,1,0.58,0.32,-0.6799999999999999
4410,Raver,1.05,0.11,NA,NA
4419,No subculture,1.38,NA,NA,NA
4428,No subculture,1.93,2.42,NA,NA
4430,Metalhead,2.73,NA,NA,NA
4435,No subculture,2.02,NA,NA,NA
4436,Hipster,2.81,NA,NA,NA
4437,No subculture,2.47,NA,NA,NA
4439,Metalhead,1.35,NA,NA,NA
4440,Raver,2.08,NA,NA,NA
4441,Raver,2.5,NA,NA,NA
4442,Hipster,2.45,NA,NA,NA
4443,Metalhead,2.17,NA,NA,NA
4444,No subculture,1.7,0,NA,NA
4445,No subculture,0.7,0.23,0.45,-0.24999999999999994
4446,Hipster,1.51,NA,NA,NA
4447,Metalhead,1.23,NA,NA,NA
4448,Metalhead,2.14,0.85,NA,NA
4452,No subculture,1.14,1.14,NA,NA
4453,Metalhead,0.96,NA,NA,NA
4454,No subculture,1.52,1.14,1.26,-0.26
4455,No subculture,0.52,NA,NA,NA
4456,Metalhead,1.56,NA,NA,NA
4459,No subculture,3.29,0.26,NA,NA
4464,No subculture,0.45,NA,NA,NA
4467,Metalhead,2.63,NA,NA,NA
4468,Raver,1.7,NA,NA,NA
4470,Metalhead,3.11,NA,NA,NA
4479,Raver,1.82,NA,NA,NA
4481,Hipster,1.58,0.14,NA,NA
4482,No subculture,2.73,NA,NA,NA
4485,No subculture,1.5,1.14,NA,NA
4486,No subculture,1.78,1.02,NA,NA
4488,No subculture,2.02,NA,NA,NA
4507,No subculture,0.67,0.94,0.91,0.24
4509,Raver,1.41,0.55,NA,NA
4510,Metalhead,0.9,NA,NA,NA
4511,Metalhead,1.23,1.11,0.76,-0.47
4512,No subculture,2.7,NA,NA,NA
4514,Hipster,1.97,NA,NA,NA
4515,Raver,0.84,NA,NA,NA
4516,No subculture,1.79,NA,NA,NA
4517,No subculture,2.84,NA,NA,NA
4518,Raver,2.02,NA,NA,NA
4519,Metalhead,1.64,0.7,NA,NA
4525,No subculture,1.08,NA,NA,NA
4533,Hipster,2.97,NA,NA,NA
4552,Raver,0.94,NA,NA,NA
4553,Hipster,2.97,1.94,NA,NA
4554,Raver,0.97,NA,NA,NA
4555,No subculture,1.47,NA,NA,NA
4559,Metalhead,2.61,NA,NA,NA
4563,Raver,1.73,0.2,0.91,-0.82
4564,Metalhead,3.38,3.44,3.41,0.03000000000000025
4569,No subculture,3.17,1,1.73,-1.44
4570,No subculture,2.2,0.91,NA,NA
4571,Metalhead,2.14,NA,NA,NA
4582,Hipster,1.29,1.58,0.81,-0.48
4590,Metalhead,3.21,2.85,NA,NA
4597,No subculture,2.67,NA,NA,NA
4598,Raver,1.85,0.79,NA,NA
4601,No subculture,1.35,NA,NA,NA
4607,No subculture,2.14,0.76,NA,NA
4611,No subculture,1.24,0.56,NA,NA
4654,No subculture,2.02,1.78,2.55,0.5299999999999998
4655,No subculture,2.32,NA,NA,NA
4663,No subculture,1.08,0.23,NA,NA
4666,No subculture,1.14,1.35,1.02,-0.11999999999999988
4690,Raver,2.14,1.82,NA,NA
4692,Metalhead,2.88,NA,NA,NA
4693,Hipster,1.35,0.17,0.44,-0.9100000000000001
4694,Raver,1,1.7,NA,NA
4695,Metalhead,2.02,NA,NA,NA
4696,No subculture,0.64,1.32,NA,NA
4697,Hipster,0.29,0.14,NA,NA
4698,Hipster,1.73,0.94,NA,NA
4699,No subculture,1.82,1.52,NA,NA
4704,Hipster,2.11,NA,NA,NA
4710,No subculture,1.23,NA,NA,NA
4711,No subculture,0.64,NA,NA,NA
4724,Metalhead,2.23,1.41,2.11,-0.1200000000000001
4725,No subculture,2.44,0.32,NA,NA
4740,No subculture,1.17,0.58,NA,NA
4744,Raver,0.61,0.44,NA,NA
4749,Metalhead,0.52,NA,NA,NA
4756,No subculture,2.91,0.94,NA,NA
4758,Hipster,2.61,1.44,NA,NA
4759,No subculture,1.47,NA,NA,NA
4760,No subculture,1.28,NA,NA,NA
4765,Raver,1.26,NA,NA,NA
